,de,en,arz,ar
GREETING,Hallo!,Hello!,أهلاً!,مرحبا!
GOING_LAPTOP,Ich gehe zum Laptop.,I'm going to the laptop.,أنا رايح لللابتوب.,أذهب إلى الكمبيوتر المحمول
GO_LAPTOP,Geh zum Laptop!,Go to the laptop!,روح لللابتوب!,اذهب إلى الكمبيوتر المحمول!
GOING_BIKE,Ich gehe zum Motorrad.,I'm going to the motorbike.,أنا رايح للمتوسيكل.,سأذهب إلى الدراجة النارية
GO_BIKE,Geh zum Motorrad!,Go to the motorbike!,روح للمتوسيكل!,اذهب إلى الدراجة النارية!
GOING_BICYCLE,Ich gehe zum Fahrrad.,I'm going to the bicycle.,أنا رايح للعجلة.,أذهب إلى الدراجة
GO_BICYCLE,Geh zum Fahrrad!,Go to the bicycle.,روح للعجلة!,اذهب إلى الدراجة!
INTERACTING_CAT,Ich streichle die Katze.,I'm petting the cat.,أنا بطبطب عالقطة.,أنا أداعب القطة.
INTERACT_CAT,Streichel die Katze!,Pet the cat!,طبطب عالقطة!,الحيوانات الأليفة القطة!
GOING_BUS,Ich gehe zum Bus.,I'm going to the bus.,أنا رايح للأوتوبيس.,انا ذاهب الى الحافلة.
GO_BUS,Geh zum Bus!,Go to the bus!,روح للأوتوبيس!,اذهب إلى الحافلة!
GOING_TUK-TUK,Ich gehe zum Tuk-Tuk.,I'm going to the tuk-tuk.,أنا رايح للتوكتوك.,أنا ذاهب إلى التوك توك.
GO_TUK-TUK,Geh zum Tuk-Tuk!,Go to the tuk-tuk!,روح للتوكتوك!,غ تكبير توك توك!
GO_CUPBOARD_LEFT,Geh zum linken Schrank!,Go to the left cupboard!,روح للدولاب الشمال!,اذهب إلى الخزانة اليسرى!
GOING_CUPBOARD_LEFT,Ich gehe zum linken Schrank.,I'm going to the left cupboard.,أنا رايح للدولاب الشمال.,أذهب إلى الخزانة اليسرى.
GO_CUPBOARD_RIGHT,Geh zum rechten Schrank!,Go to the right cupboard!,روح للدولاب اليمين!,اذهب إلى الخزانة الصحيحة!
GOING_CUPBOARD_RIGHT,Ich gehe zum rechten Schrank.,I'm going to the right cupboard.,أنا رايح للدولاب اليمين.,أذهب إلى الخزانة الصحيحة.
TAKING_A_BACKPACK,Ich nehme einen Rucksack.,I'm taking a backpack.,أنا باخد شنطة.,أنا آخذ حقيبة ظهر.
TAKING_A_PEAR,Ich nehme eine Birne.,I'm taking a pear.,أنا باخد كمثرى.,سآخذ الكمثرى.
TAKE_A_COCONUT,Nimm eine Kokosnuss!,Take a coconut!,خُد جوز هند!,خذ جوز الهند!
TAKING_A_COCONUT,Ich nehme eine Kokosnuss.,I'm taking a coconut.,أنا باخد جوز هند.,سآخذ جوز الهند.
TAKE_AN_APPLE,Nimm einen Apfel!,Take an apple!,خُد تفاحة!,خذ تفاحة!
GOING_BACKPACK-RED,Ich gehe zum roten Rucksack.,I'm going to the red backpack.,أنا رايح للشنطة الحمرا.,أذهب إلى حقيبة الظهر الحمراء.
GO_BACKPACK-RED,Geh zum roten Rucksack!,Go to the red backpack!,روح للشنطة الحمرا!,اذهب إلى حقيبة الظهر الحمراء!
GOING_SILVER_CAR,Ich gehe zum silbernen Auto.,I'm going to the silver car.,أنا رايح للعربية الفضي.,أذهب إلى السيارة الفضية.
INTERACT_DOG_SMALL,Ich streichle den kleinen Hund.,I'm petting the small dog.,أنا بطبطب عالكلب الصغير.,أنا أداعب الكلب الصغير.
GO_WASHING-MACHINE,Geh zur Waschmaschine!,Go to the washing machine!,روح للغسالة!,اذهب إلى الغسالة!
GOING_CAR_RED,Ich gehe zum roten Auto.,I'm going to the red car.,أنا رايح للعربية الحمرا.,أذهب إلى السيارة الحمراء.
GOING_BACKPACK-BLUE,Ich gehe zum blauen Rucksack.,I'm going to the blue backpack.,أنا رايح للشنطة الزرقا.,أذهب إلى حقيبة الظهر الزرقاء.
GO_BACKPACK-BLUE,Geh zum blauen Rucksack!,Go to the blue backpack!,روح للشنطة الزرقا!,اذهب إلى حقيبة الظهر الزرقاء!
GO_SILVER_CAR,Gehe zum silbernen Auto!,Go to the silver car!,روح للعربية الفضي!,اذهب إلى السيارة الفضية!
INTERACT_DOG_TALL,Streichel den großen Hund!,Pet the big dog!,طبطب عالكلب الكبير!,الحيوانات الأليفة الكلب الكبير!
INTERACTING_DOG_SMALL,Ich streichle den kleinen Hund.,I'm petting the small dog.,أنا بطبطب عالكلب الصغير.,أنا أداعب الكلب الصغير.
TAKE_A_PEAR,Nimm eine Birne!,Take a pear!,خُد كمثرى!,خذ الكمثرى!
GOING_TOILET,Ich gehe zur Toilette.,I'm going to the toilet.,أنا رايح التواليت.,انا ذاهب الى المرحاض.
INTERACT_GIRAFFE,Streichel die Giraffe!,Pet the giraffe!,طبطب عالزرافة!,الحيوانات الأليفة الزرافة!
TAKING_MELON,Ich nehme eine Melone.,I'm taking a melon.,أنا باخد شمامة.,سآخذ البطيخ.
TAKE_MELON,Nimm eine Melone!,Take a melon!,خُد شمامة!,خذ البطيخ!
GO_CUPBOARD,Geh zum Schrank!,Go to the cupboard!,روح للدولاب!,اذهب إلى الخزانة!
GO_TOILET,Geh zur Toilette!,Go to the toilet!,روح التواليت!,اذهب إلى المرحاض!
TAKING_AN_APPLE,Ich nehme einen Apfel.,I'm taking an apple.,أنا باخد تفاحة.,سآخذ تفاحة.
GO_CAR_YELLOW,Geh zum gelben Auto!,Go to the yellow car!,روح للعربية الصفرا!,اذهب إلى السيارة الصفراء!
GOING_CUPBOARD,Ich gehe zum Schrank.,I'm going to the cupboard.,أنا رايح للدولاب.,أذهب إلى الخزانة.
TAKE_A_BACKPACK,Nimm einen Rucksack!,Take a backpack!,خُد شنطة!,خذ حقيبة ظهر!
INTERACTING_DOG_TALL,Ich streichle den großen Hund.,I'm petting the big dog.,أنا بطبطب عالكلب الكبير.,أنا أداعب الكلب الكبير.
GOING_WASHING-MACHINE,Ich gehe zur Waschmaschine.,I'm going to the washing machine.,أنا رايح للغسالة,أذهب إلى الغسالة.
GO_CAR_RED,Geh zum roten Auto!,Go to the red car!,روح للعربية الحمرا!,اذهب إلى السيارة الحمراء!
INTERACTING_GIRAFFE,Ich streichle die Giraffe.,I'm petting the giraffe,أنا بطبطب عالزرافة.,أنا أداعب الزرافة.
GOING_CAR_YELLOW,Ich gehe zum gelben Auto.,I'm going to the yellow car.,أنا رايح للعربية الصفرا.,أذهب إلى السيارة الصفراء.
,Schüttel den Baum!,Shake the tree!,هِز الشجرة!,
,Kletter auf den Baum!,Climb the tree!,اِتسلّق الشجرة!,
,Ich kletter auf den Baum.,I'm climbing the tree.,أنا بتسلّق الشجرة.,
,Ich schüttel den Baum.,I'm shaking the tree.,أنا بهِز الشجرة.,
,Ich pflücke den Apfel.,I'm plucking an apple.,أنا بقطُف تفاحة.,
,Pflück den Apfel!,Pluck an apple!,اِقطُف تفاحة!,
,Wirf den Apfel zu mir!,Throw the apple to me!,اِرميلي التفاحة!,
,Ich werfe den Apfel.,I'm throwing the apple.,أنا برمي التفاحة.,
,Ich werfe den Apfel in den Korb.,I'm throwing the apple into the basket.,أنا برمي التفاحة في السَبَت.,
,,I'm climbing up the rock.,أنا بتسلّق الصخرة.,
,,Climb up the rock!,اِتسلّق الصخرة!,
,,Climb on the car!,اِطلع فوق العربية!,
,,I'm climbing on the car.,أنا بطلع فوق العربية.,
,,There are three apples on the tree.,في ثلاث تفاحات عالشجرة.,
,,There are two apples on the ground.,في تفاحتين عالأرض.,
,,I'm getting into the car.,أنا بركب العربية.,
,,Get in the car!,اِركب العربية!,
,,Start the car!,دوّر العربية!,
,,I'm starting the car.,أنا بدوّر العربية.,
,,Turn off the car!,وقّف العربية!,
,,I'm turning the car off.,أنا بوقّف العربية.,
,,Turn the washing mashine on!,شغّل الغسالة!,
,,I'm turning the washing machine off.,أنا بطفي الغسالة.,
,,Turn on the lights!,ولّع النور!,
,,I'm turning on the lights.,أنا بولّع النور.,
,,Turn off the lights!,طَفّي النور!,
,,I'm sitting on the washing machine.,أنا قاعد عالغسالة.,
,,Sit on the washing machine!,اُقعد عالغسالة!,
,,I'm pushing the car.,أنا بزُق العربية.,
,,Push the car!,زُق العربية!,
,,I'm going infront of the car.,أنا رايح للعربية من قدام.,
,,Go infront of the car!,روح للعربية من قدام!,
,,Go behind the car!,روح للعربية من ورا!,
,,I'm going behind the car.,أنا رايح للعربية من ورا.,
,,Go next to the car!,روح للعربية من الجنب!,
,,I'm going next to the car.,أنا رايح للعربية من الجنب.,
,,I'm eating the apple.,أنا باكل التفاحة.,
,,Eat the apple!,كُل التفاحة!,
,,Close the laptop!,اِقفل اللابتوب!,
,,Open the laptop!,اِفتح اللابتوب!,
,,I'm opening the latop!,أنا بفتح اللابتوب.,
,,Close the door!,اِقفل الباب!,
,,Open the door!,اِفتح الباب!,
,,Feed the cat!,أكِّل القطة!,
,,I'm feeding the dog.,أنا بأكِّل القطة.,
,,Put on the backpack!,اِلبس الشنطة!,
,,I'm putting the jacket on.,أنا بلبس الجاكت.,
,,Give me the shirt!,اِديني القميص!,
,,I'm giving him the suit.,أنا بديله البدلة.,
,,I'm giving her the pants.,أنا بديلها البنطلون.,
,,I'm using the washing machine.,أنا بستخدم الغسالة.,
,,Drive the car!,سُوق العربية!,
,,Put the apple on the table!,حُط التفاحة عالطربيزة!,
,,Put the shirt in the washing machine!,حُط القميص فالغسالة!,